date,US,Germany,UK,Canada,Australia
02/22/18,2703.96,12461.90,7252.39,15508.20,5950.88
02/21/18,2701.33,12470.50,7281.57,15524.00,5943.72
02/20/18,2716.26,12487.90,7246.77,15439.40,5940.85
02/16/18,2732.22,12452.00,7294.70,15452.60,5904.04
02/15/18,2731.20,12346.20,7234.81,15407.70,5908.99
02/14/18,2698.63,12339.20,7213.97,15328.30,5841.24
02/13/18,2662.94,12196.50,7168.01,15216.50,5855.90
02/12/18,2656.00,12282.80,7177.06,15241.90,5820.70
02/09/18,2619.55,12107.50,7092.43,15034.50,5837.97
02/08/18,2581.00,12260.30,7170.69,15065.60,5890.70
02/07/18,2681.66,12590.40,7279.42,15330.60,5876.81
02/06/18,2695.14,12392.70,7141.40,15363.90,5833.34
02/05/18,2648.94,12687.50,7334.98,15334.80,6026.23
02/02/18,2762.13,12785.20,7443.43,15606.00,6121.39
02/01/18,2821.98,13003.90,7490.39,15860.90,6090.07
01/31/18,2823.81,13189.50,7533.55,15951.70,6037.68
01/30/18,2822.43,13197.70,7587.98,15955.50,6022.80
01/29/18,2853.53,13324.50,7671.53,16094.70,6075.41
01/26/18,2872.87,13340.20,7665.54,16239.20,6050.02
01/25/18,2839.25,13298.40,7615.84,16204.00,6050.02
01/24/18,2837.54,13414.70,7643.43,16284.20,6054.66
01/23/18,2839.13,13559.60,7731.83,16357.50,6036.96
01/22/18,2832.97,13463.70,7715.44,16348.00,5991.91
01/19/18,2810.30,13434.50,7730.79,16353.50,6005.81
01/18/18,2798.03,13281.40,7700.96,16284.50,6014.57
01/17/18,2802.56,13184.00,7725.43,16326.70,6015.81
01/16/18,2776.42,13246.30,7755.93,16298.90,6048.64
01/12/18,2786.24,13245.00,7778.64,16308.20,6070.05
01/11/18,2767.56,13202.90,7762.94,16286.90,6067.62
01/10/18,2748.23,13281.30,7748.51,16248.00,6096.68
01/09/18,2751.29,13385.60,7731.02,16319.20,6135.81
01/08/18,2747.71,13367.80,7696.51,16317.70,6130.37
01/05/18,2743.15,13319.60,7724.22,16349.40,6122.35
01/04/18,2723.99,13167.90,7695.88,16412.90,6077.08
01/03/18,2713.06,12978.20,7671.11,16371.50,6070.38
01/02/18,2695.81,12871.40,7648.10,16310.00,6061.28
12/29/17,2673.61,12917.60,7687.77,16209.10,6065.13
12/28/17,2687.54,12979.90,7622.88,16222.00,6088.14
12/27/17,2682.62,13070.00,7620.68,16203.10,6069.87
12/26/17,2680.50,13072.80,7592.66,16165.30,6069.71
12/22/17,2683.34,13072.80,7592.66,16165.30,6069.71
12/21/17,2684.57,13109.70,7603.98,16182.60,6060.36
12/20/17,2679.25,13069.20,7525.22,16159.70,6075.62
12/19/17,2681.47,13215.80,7544.09,16133.40,6071.79
12/18/17,2690.16,13312.30,7537.01,16131.60,6038.93
12/15/17,2675.81,13103.60,7490.57,16042.00,5996.97
12/14/17,2652.01,13068.10,7448.12,16016.50,6011.26
12/13/17,2662.85,13125.60,7496.51,16136.60,6021.83
12/12/17,2664.11,13183.50,7500.41,16114.00,6013.20
12/11/17,2659.99,13123.70,7453.48,16103.50,5998.28
12/08/17,2651.50,13153.70,7393.96,16096.10,5994.37
12/07/17,2636.98,13045.20,7320.75,16015.70,5977.72
12/06/17,2629.27,12998.90,7348.03,15908.80,5945.71
12/05/17,2629.57,13048.50,7327.50,15915.70,5971.82
12/04/17,2639.44,13058.50,7338.97,15969.00,5985.59
12/01/17,2642.22,12861.50,7300.49,16039.00,5989.76
11/30/17,2647.58,13024.00,7326.67,16067.50,5969.89
11/29/17,2626.07,13061.90,7393.56,15967.70,6011.11
11/28/17,2627.04,13059.50,7460.65,16029.60,5984.25
11/27/17,2601.42,13000.20,7383.90,16042.10,5988.77
11/24/17,2602.42,13059.80,7409.64,16108.10,5982.55
11/22/17,2597.08,13015.00,7419.02,16073.60,5986.41
11/21/17,2599.03,13167.50,7411.34,16076.70,5963.52
11/20/17,2582.14,13058.70,7389.46,16004.40,5945.67
11/17/17,2578.85,12993.70,7380.68,15998.60,5957.25
11/16/17,2585.64,13047.20,7386.94,15935.40,5943.51
11/15/17,2564.62,12976.40,7372.61,15878.50,5934.23
11/14/17,2578.87,13033.50,7414.42,15913.10,5968.75
11/13/17,2584.84,13074.40,7415.18,16026.30,6021.77
11/10/17,2582.30,13127.50,7432.99,16039.30,6029.37
11/09/17,2584.62,13182.60,7484.10,16082.10,6049.43
11/08/17,2594.38,13382.40,7529.72,16105.40,6016.27
11/07/17,2590.64,13379.30,7513.11,16131.80,6014.34
11/06/17,2591.13,13468.80,7562.28,16092.20,5953.78
11/03/17,2587.84,13478.90,7560.35,16020.20,5959.88
11/02/17,2579.85,13440.90,7555.32,16015.00,5931.71
